	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
0	IGHD1-2*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	IGHD1-2*01	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	IGHD2-2*01	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	IGHD2-3*01	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	IGHD2-4*01	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	IGHD2-4*01	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	IGHD2-4*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	IGHD2-4*01	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	IGHD2-5*01	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	IGHD2-5*01	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	IGHD2-5*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	IGHD2-5*01	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	NA	IGHJ1-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	NA	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	NA	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	NA	IGHJ2-3*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	NA	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	NA	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	IGHD2-2*01	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	IGHD2-2*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	IGHD2-3*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	IGHD2-4*01	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	IGHD2-4*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	IGHD2-4*01	IGHJ2-4*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	IGHD2-5*01	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	IGHD2-5*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	IGHD2-5*01	IGHJ2-3*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	IGHD2-5*01	IGHJ2-4*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	IGHD2-5*01	IGHJ2-5*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	NA	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	NA	IGHJ2-3*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	NA	IGHJ2-4*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	NA	IGHJ2-5*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	IGHD2-2*01	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	IGHD2-2*01	IGHJ2-4*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	IGHD2-2*01	IGHJ2-5*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	IGHD2-3*01	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	IGHD2-3*01	IGHJ2-2*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	IGHD2-4*01	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	IGHD2-5*01	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	IGHD2-5*01	IGHJ2-2*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	IGHD2-5*01	IGHJ2-4*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	NA	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	NA	IGHJ2-2*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	NA	IGHJ2-3*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	NA	IGHJ2-4*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	NA	IGHJ2-5*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	IGHD2-2*01	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	IGHD2-3*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	IGHD2-4*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	IGHD2-4*01	IGHJ2-2*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	IGHD2-4*01	IGHJ2-4*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	IGHD2-4*01	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	IGHD2-5*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	IGHD2-5*01	IGHJ2-2*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	IGHD2-5*01	IGHJ2-3*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	IGHD2-5*01	IGHJ2-4*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	IGHD2-5*01	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	NA	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	NA	IGHJ2-2*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	NA	IGHJ2-3*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	NA	IGHJ2-4*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	NA	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	IGHD2-4*01	IGHJ2-1*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	IGHD2-4*01	IGHJ2-5*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	IGHD2-5*01	IGHJ2-1*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	IGHD2-5*01	IGHJ2-4*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	IGHD2-5*01	IGHJ2-5*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	NA	IGHJ2-1*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	NA	IGHJ2-2*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	NA	IGHJ2-4*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	NA	IGHJ2-5*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	IGHD2-5*01	IGHJ2-1*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	IGHD2-5*01	IGHJ2-4*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	NA	IGHJ1-1*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	NA	IGHJ2-1*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	NA	IGHJ2-2*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	NA	IGHJ2-4*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	NA	IGHJ2-5*01	IGHV11-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	IGHD2-2*01	IGHJ2-4*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	IGHD2-3*01	IGHJ2-1*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	IGHD2-4*01	IGHJ2-1*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	IGHD2-4*01	IGHJ2-2*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	IGHD2-4*01	IGHJ2-5*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	IGHD2-5*01	IGHJ2-1*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	IGHD2-5*01	IGHJ2-4*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	IGHD2-5*01	IGHJ2-5*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	NA	IGHJ1-1*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	NA	IGHJ1-2*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	NA	IGHJ2-1*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	NA	IGHJ2-2*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	NA	IGHJ2-3*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	NA	IGHJ2-4*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	NA	IGHJ2-5*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	IGHD2-1*01	IGHJ2-4*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	IGHD2-2*01	IGHJ2-1*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	IGHD2-4*01	IGHJ2-1*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
98	IGHD2-4*01	IGHJ2-4*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	IGHD2-4*01	IGHJ2-5*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100	IGHD2-5*01	IGHJ2-1*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
101	IGHD2-5*01	IGHJ2-2*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	IGHD2-5*01	IGHJ2-4*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	IGHD2-5*01	IGHJ2-5*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104	NA	IGHJ1-1*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	NA	IGHJ1-2*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
106	NA	IGHJ2-1*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	NA	IGHJ2-2*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	NA	IGHJ2-3*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	NA	IGHJ2-4*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
110	NA	IGHJ2-5*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	IGHD1-2*01	IGHJ1-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	IGHD1-2*01	IGHJ1-2*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	IGHD1-2*01	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
114	IGHD1-2*01	IGHJ2-2*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	IGHD1-2*01	IGHJ2-4*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
116	IGHD2-1*01	IGHJ2-3*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
117	IGHD2-2*01	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
118	IGHD2-2*01	IGHJ2-2*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
119	IGHD2-3*01	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
120	IGHD2-3*01	IGHJ2-4*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
121	IGHD2-4*01	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
122	IGHD2-4*01	IGHJ2-2*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	IGHD2-5*01	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
124	IGHD2-5*01	IGHJ2-2*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
125	IGHD2-5*01	IGHJ2-3*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
126	IGHD2-5*01	IGHJ2-4*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
127	IGHD2-5*01	IGHJ2-5*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
128	NA	IGHJ1-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	NA	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
130	NA	IGHJ2-2*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
131	NA	IGHJ2-3*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
132	NA	IGHJ2-4*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	NA	IGHJ2-5*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
134	IGHD2-1*01	IGHJ2-1*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
135	IGHD2-2*01	IGHJ2-1*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
136	IGHD2-3*01	IGHJ2-1*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
137	IGHD2-3*01	IGHJ2-4*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
138	IGHD2-4*01	IGHJ2-1*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	IGHD2-4*01	IGHJ2-4*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
140	IGHD2-5*01	IGHJ2-1*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141	IGHD2-5*01	IGHJ2-4*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
142	IGHD2-5*01	IGHJ2-5*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
143	NA	IGHJ1-2*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	NA	IGHJ2-1*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
145	NA	IGHJ2-2*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
146	NA	IGHJ2-3*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147	NA	IGHJ2-4*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	NA	IGHJ2-5*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
149	IGHD1-2*01	IGHJ2-5*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150	IGHD2-4*01	IGHJ2-1*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
151	IGHD2-4*01	IGHJ2-2*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
152	IGHD2-4*01	IGHJ2-4*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
153	IGHD2-4*01	IGHJ2-5*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
154	IGHD2-5*01	IGHJ2-1*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
155	IGHD2-5*01	IGHJ2-4*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
156	IGHD2-5*01	IGHJ2-5*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
157	NA	IGHJ1-1*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
158	NA	IGHJ1-2*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
159	NA	IGHJ2-1*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	NA	IGHJ2-2*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
161	NA	IGHJ2-3*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
162	NA	IGHJ2-4*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
163	NA	IGHJ2-5*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
164	NA	IGHJ2-1*01	IGHV2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
165	NA	IGHJ2-2*01	IGHV2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
166	NA	IGHJ2-3*01	IGHV2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
167	NA	IGHJ2-4*01	IGHV2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	NA	IGHJ2-5*01	IGHV2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
169	IGHD2-5*01	IGHJ2-4*01	IGHV3-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
170	NA	IGHJ2-1*01	IGHV3-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	NA	IGHJ2-2*01	IGHV3-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
172	NA	IGHJ2-3*01	IGHV3-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
173	NA	IGHJ2-4*01	IGHV3-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
